date,validityFrom,validityTo,value
2013-03-02,2013-03-02T00:00:00-05:00,2013-03-04T00:00:00-05:00,1816.48
2013-03-03,2013-03-02T00:00:00-05:00,2013-03-04T00:00:00-05:00,1816.48
2013-03-04,2013-03-02T00:00:00-05:00,2013-03-04T00:00:00-05:00,1816.48
2013-03-05,2013-03-05T00:00:00-05:00,2013-03-05T00:00:00-05:00,1813.53
2013-03-06,2013-03-06T00:00:00-05:00,2013-03-06T00:00:00-05:00,1809.65
2013-03-07,2013-03-07T00:00:00-05:00,2013-03-07T00:00:00-05:00,1808
2013-03-08,2013-03-08T00:00:00-05:00,2013-03-08T00:00:00-05:00,1803.65
2013-03-09,2013-03-09T00:00:00-05:00,2013-03-11T00:00:00-05:00,1800.45
2013-03-10,2013-03-09T00:00:00-05:00,2013-03-11T00:00:00-05:00,1800.45
2013-03-11,2013-03-09T00:00:00-05:00,2013-03-11T00:00:00-05:00,1800.45
2013-03-12,2013-03-12T00:00:00-05:00,2013-03-12T00:00:00-05:00,1801.2
2013-03-13,2013-03-13T00:00:00-05:00,2013-03-13T00:00:00-05:00,1801.64
2013-03-14,2013-03-14T00:00:00-05:00,2013-03-14T00:00:00-05:00,1798.56
2013-03-15,2013-03-15T00:00:00-05:00,2013-03-15T00:00:00-05:00,1797.28
2013-03-16,2013-03-16T00:00:00-05:00,2013-03-18T00:00:00-05:00,1804.06
2013-03-17,2013-03-16T00:00:00-05:00,2013-03-18T00:00:00-05:00,1804.06
2013-03-18,2013-03-16T00:00:00-05:00,2013-03-18T00:00:00-05:00,1804.06
2013-03-19,2013-03-19T00:00:00-05:00,2013-03-19T00:00:00-05:00,1809.58
2013-03-20,2013-03-20T00:00:00-05:00,2013-03-20T00:00:00-05:00,1809.83
2013-03-21,2013-03-21T00:00:00-05:00,2013-03-21T00:00:00-05:00,1812.35
2013-03-22,2013-03-22T00:00:00-05:00,2013-03-22T00:00:00-05:00,1822.78
2013-03-23,2013-03-23T00:00:00-05:00,2013-03-26T00:00:00-05:00,1825.79
2013-03-24,2013-03-23T00:00:00-05:00,2013-03-26T00:00:00-05:00,1825.79
2013-03-25,2013-03-23T00:00:00-05:00,2013-03-26T00:00:00-05:00,1825.79
2013-03-26,2013-03-23T00:00:00-05:00,2013-03-26T00:00:00-05:00,1825.79
2013-03-27,2013-03-27T00:00:00-05:00,2013-03-27T00:00:00-05:00,1828.95
2013-03-28,2013-03-28T00:00:00-05:00,2013-04-01T00:00:00-05:00,1832.2
2013-03-29,2013-03-28T00:00:00-05:00,2013-04-01T00:00:00-05:00,1832.2
2013-03-30,2013-03-28T00:00:00-05:00,2013-04-01T00:00:00-05:00,1832.2
2013-03-31,2013-03-28T00:00:00-05:00,2013-04-01T00:00:00-05:00,1832.2
2013-04-01,2013-03-28T00:00:00-05:00,2013-04-01T00:00:00-05:00,1832.2
2013-04-02,2013-04-02T00:00:00-05:00,2013-04-02T00:00:00-05:00,1823.12
2013-04-03,2013-04-03T00:00:00-05:00,2013-04-03T00:00:00-05:00,1817.14
2013-04-04,2013-04-04T00:00:00-05:00,2013-04-04T00:00:00-05:00,1819.93
2013-04-05,2013-04-05T00:00:00-05:00,2013-04-05T00:00:00-05:00,1829.01
2013-04-06,2013-04-06T00:00:00-05:00,2013-04-08T00:00:00-05:00,1826.88
2013-04-07,2013-04-06T00:00:00-05:00,2013-04-08T00:00:00-05:00,1826.88
2013-04-08,2013-04-06T00:00:00-05:00,2013-04-08T00:00:00-05:00,1826.88
2013-04-09,2013-04-09T00:00:00-05:00,2013-04-09T00:00:00-05:00,1817.66
2013-04-10,2013-04-10T00:00:00-05:00,2013-04-10T00:00:00-05:00,1813.11
2013-04-11,2013-04-11T00:00:00-05:00,2013-04-11T00:00:00-05:00,1821.2
2013-04-12,2013-04-12T00:00:00-05:00,2013-04-12T00:00:00-05:00,1823.84
2013-04-13,2013-04-13T00:00:00-05:00,2013-04-15T00:00:00-05:00,1827.79
2013-04-14,2013-04-13T00:00:00-05:00,2013-04-15T00:00:00-05:00,1827.79
2013-04-15,2013-04-13T00:00:00-05:00,2013-04-15T00:00:00-05:00,1827.79
2013-04-16,2013-04-16T00:00:00-05:00,2013-04-16T00:00:00-05:00,1834.86
2013-04-17,2013-04-17T00:00:00-05:00,2013-04-17T00:00:00-05:00,1833.98
2013-04-18,2013-04-18T00:00:00-05:00,2013-04-18T00:00:00-05:00,1846.46
2013-04-19,2013-04-19T00:00:00-05:00,2013-04-19T00:00:00-05:00,1847.02
2013-04-20,2013-04-20T00:00:00-05:00,2013-04-22T00:00:00-05:00,1835.57
2013-04-21,2013-04-20T00:00:00-05:00,2013-04-22T00:00:00-05:00,1835.57
2013-04-22,2013-04-20T00:00:00-05:00,2013-04-22T00:00:00-05:00,1835.57
2013-04-23,2013-04-23T00:00:00-05:00,2013-04-23T00:00:00-05:00,1841.14
2013-04-24,2013-04-24T00:00:00-05:00,2013-04-24T00:00:00-05:00,1838.03
2013-04-25,2013-04-25T00:00:00-05:00,2013-04-25T00:00:00-05:00,1836.79
2013-04-26,2013-04-26T00:00:00-05:00,2013-04-26T00:00:00-05:00,1830.84
2013-04-27,2013-04-27T00:00:00-05:00,2013-04-29T00:00:00-05:00,1833.7
2013-04-28,2013-04-27T00:00:00-05:00,2013-04-29T00:00:00-05:00,1833.7
2013-04-29,2013-04-27T00:00:00-05:00,2013-04-29T00:00:00-05:00,1833.7
2013-04-30,2013-04-30T00:00:00-05:00,2013-04-30T00:00:00-05:00,1828.79
2013-05-01,2013-05-01T00:00:00-05:00,2013-05-02T00:00:00-05:00,1825.83
2013-05-02,2013-05-01T00:00:00-05:00,2013-05-02T00:00:00-05:00,1825.83
2013-05-03,2013-05-03T00:00:00-05:00,2013-05-03T00:00:00-05:00,1836.34
2013-05-04,2013-05-04T00:00:00-05:00,2013-05-06T00:00:00-05:00,1835.88
2013-05-05,2013-05-04T00:00:00-05:00,2013-05-06T00:00:00-05:00,1835.88
2013-05-06,2013-05-04T00:00:00-05:00,2013-05-06T00:00:00-05:00,1835.88
2013-05-07,2013-05-07T00:00:00-05:00,2013-05-07T00:00:00-05:00,1831.42
2013-05-08,2013-05-08T00:00:00-05:00,2013-05-08T00:00:00-05:00,1827.13
2013-05-09,2013-05-09T00:00:00-05:00,2013-05-09T00:00:00-05:00,1830.7
2013-05-10,2013-05-10T00:00:00-05:00,2013-05-10T00:00:00-05:00,1833.07
2013-05-11,2013-05-11T00:00:00-05:00,2013-05-14T00:00:00-05:00,1834.83
2013-05-12,2013-05-11T00:00:00-05:00,2013-05-14T00:00:00-05:00,1834.83
2013-05-13,2013-05-11T00:00:00-05:00,2013-05-14T00:00:00-05:00,1834.83
2013-05-14,2013-05-11T00:00:00-05:00,2013-05-14T00:00:00-05:00,1834.83
2013-05-15,2013-05-15T00:00:00-05:00,2013-05-15T00:00:00-05:00,1838.63
2013-05-16,2013-05-16T00:00:00-05:00,2013-05-16T00:00:00-05:00,1843.75
2013-05-17,2013-05-17T00:00:00-05:00,2013-05-17T00:00:00-05:00,1838.82
2013-05-18,2013-05-18T00:00:00-05:00,2013-05-20T00:00:00-05:00,1841.35
2013-05-19,2013-05-18T00:00:00-05:00,2013-05-20T00:00:00-05:00,1841.35
2013-05-20,2013-05-18T00:00:00-05:00,2013-05-20T00:00:00-05:00,1841.35
2013-05-21,2013-05-21T00:00:00-05:00,2013-05-21T00:00:00-05:00,1842.59
2013-05-22,2013-05-22T00:00:00-05:00,2013-05-22T00:00:00-05:00,1846.76
2013-05-23,2013-05-23T00:00:00-05:00,2013-05-23T00:00:00-05:00,1850.55
2013-05-24,2013-05-24T00:00:00-05:00,2013-05-24T00:00:00-05:00,1864.02
2013-05-25,2013-05-25T00:00:00-05:00,2013-05-28T00:00:00-05:00,1874.1
2013-05-26,2013-05-25T00:00:00-05:00,2013-05-28T00:00:00-05:00,1874.1
2013-05-27,2013-05-25T00:00:00-05:00,2013-05-28T00:00:00-05:00,1874.1
2013-05-28,2013-05-25T00:00:00-05:00,2013-05-28T00:00:00-05:00,1874.1
2013-05-29,2013-05-29T00:00:00-05:00,2013-05-29T00:00:00-05:00,1897.1
2013-05-30,2013-05-30T00:00:00-05:00,2013-05-30T00:00:00-05:00,1894.13
2013-05-31,2013-05-31T00:00:00-05:00,2013-05-31T00:00:00-05:00,1891.48
2013-06-01,2013-06-01T00:00:00-05:00,2013-06-04T00:00:00-05:00,1907.76
2013-06-02,2013-06-01T00:00:00-05:00,2013-06-04T00:00:00-05:00,1907.76
2013-06-03,2013-06-01T00:00:00-05:00,2013-06-04T00:00:00-05:00,1907.76
2013-06-04,2013-06-01T00:00:00-05:00,2013-06-04T00:00:00-05:00,1907.76
2013-06-05,2013-06-05T00:00:00-05:00,2013-06-05T00:00:00-05:00,1894.4
2013-06-06,2013-06-06T00:00:00-05:00,2013-06-06T00:00:00-05:00,1899.08
2013-06-07,2013-06-07T00:00:00-05:00,2013-06-07T00:00:00-05:00,1907.88
2013-06-08,2013-06-08T00:00:00-05:00,2013-06-11T00:00:00-05:00,1898.8
2013-06-09,2013-06-08T00:00:00-05:00,2013-06-11T00:00:00-05:00,1898.8
2013-06-10,2013-06-08T00:00:00-05:00,2013-06-11T00:00:00-05:00,1898.8
2013-06-11,2013-06-08T00:00:00-05:00,2013-06-11T00:00:00-05:00,1898.8
2013-06-12,2013-06-12T00:00:00-05:00,2013-06-12T00:00:00-05:00,1907.12
2013-06-13,2013-06-13T00:00:00-05:00,2013-06-13T00:00:00-05:00,1897.53
2013-06-14,2013-06-14T00:00:00-05:00,2013-06-14T00:00:00-05:00,1895.01
2013-06-15,2013-06-15T00:00:00-05:00,2013-06-17T00:00:00-05:00,1882.38
2013-06-16,2013-06-15T00:00:00-05:00,2013-06-17T00:00:00-05:00,1882.38
2013-06-17,2013-06-15T00:00:00-05:00,2013-06-17T00:00:00-05:00,1882.38
2013-06-18,2013-06-18T00:00:00-05:00,2013-06-18T00:00:00-05:00,1883.57
2013-06-19,2013-06-19T00:00:00-05:00,2013-06-19T00:00:00-05:00,1902.47
2013-06-20,2013-06-20T00:00:00-05:00,2013-06-20T00:00:00-05:00,1900.87
2013-06-21,2013-06-21T00:00:00-05:00,2013-06-21T00:00:00-05:00,1937.26
2013-06-22,2013-06-22T00:00:00-05:00,2013-06-24T00:00:00-05:00,1941.06
2013-06-23,2013-06-22T00:00:00-05:00,2013-06-24T00:00:00-05:00,1941.06
2013-06-24,2013-06-22T00:00:00-05:00,2013-06-24T00:00:00-05:00,1941.06
2013-06-25,2013-06-25T00:00:00-05:00,2013-06-25T00:00:00-05:00,1942.97
2013-06-26,2013-06-26T00:00:00-05:00,2013-06-26T00:00:00-05:00,1928.27
2013-06-27,2013-06-27T00:00:00-05:00,2013-06-27T00:00:00-05:00,1921.86
2013-06-28,2013-06-28T00:00:00-05:00,2013-06-28T00:00:00-05:00,1922.63
2013-06-29,2013-06-29T00:00:00-05:00,2013-07-02T00:00:00-05:00,1929
2013-06-30,2013-06-29T00:00:00-05:00,2013-07-02T00:00:00-05:00,1929
2013-07-01,2013-06-29T00:00:00-05:00,2013-07-02T00:00:00-05:00,1929
2013-07-02,2013-06-29T00:00:00-05:00,2013-07-02T00:00:00-05:00,1929
2013-07-03,2013-07-03T00:00:00-05:00,2013-07-03T00:00:00-05:00,1919.42
2013-07-04,2013-07-04T00:00:00-05:00,2013-07-05T00:00:00-05:00,1915.45
2013-07-05,2013-07-04T00:00:00-05:00,2013-07-05T00:00:00-05:00,1915.45
2013-07-06,2013-07-06T00:00:00-05:00,2013-07-08T00:00:00-05:00,1927.4
2013-07-07,2013-07-06T00:00:00-05:00,2013-07-08T00:00:00-05:00,1927.4
2013-07-08,2013-07-06T00:00:00-05:00,2013-07-08T00:00:00-05:00,1927.4
2013-07-09,2013-07-09T00:00:00-05:00,2013-07-09T00:00:00-05:00,1926.84
2013-07-10,2013-07-10T00:00:00-05:00,2013-07-10T00:00:00-05:00,1920.12
2013-07-11,2013-07-11T00:00:00-05:00,2013-07-11T00:00:00-05:00,1920.24
2013-07-12,2013-07-12T00:00:00-05:00,2013-07-12T00:00:00-05:00,1910.79
2013-07-13,2013-07-13T00:00:00-05:00,2013-07-15T00:00:00-05:00,1905.25
2013-07-14,2013-07-13T00:00:00-05:00,2013-07-15T00:00:00-05:00,1905.25
2013-07-15,2013-07-13T00:00:00-05:00,2013-07-15T00:00:00-05:00,1905.25
2013-07-16,2013-07-16T00:00:00-05:00,2013-07-16T00:00:00-05:00,1893.16
2013-07-17,2013-07-17T00:00:00-05:00,2013-07-17T00:00:00-05:00,1878.42
2013-07-18,2013-07-18T00:00:00-05:00,2013-07-18T00:00:00-05:00,1873.25
2013-07-19,2013-07-19T00:00:00-05:00,2013-07-19T00:00:00-05:00,1883.29
2013-07-20,2013-07-20T00:00:00-05:00,2013-07-22T00:00:00-05:00,1884.01
2013-07-21,2013-07-20T00:00:00-05:00,2013-07-22T00:00:00-05:00,1884.01
2013-07-22,2013-07-20T00:00:00-05:00,2013-07-22T00:00:00-05:00,1884.01
2013-07-23,2013-07-23T00:00:00-05:00,2013-07-23T00:00:00-05:00,1880.87
2013-07-24,2013-07-24T00:00:00-05:00,2013-07-24T00:00:00-05:00,1886.06
2013-07-25,2013-07-25T00:00:00-05:00,2013-07-25T00:00:00-05:00,1891.02
2013-07-26,2013-07-26T00:00:00-05:00,2013-07-26T00:00:00-05:00,1887.4
2013-07-27,2013-07-27T00:00:00-05:00,2013-07-29T00:00:00-05:00,1886.26
2013-07-28,2013-07-27T00:00:00-05:00,2013-07-29T00:00:00-05:00,1886.26
2013-07-29,2013-07-27T00:00:00-05:00,2013-07-29T00:00:00-05:00,1886.26
2013-07-30,2013-07-30T00:00:00-05:00,2013-07-30T00:00:00-05:00,1888.95
2013-07-31,2013-07-31T00:00:00-05:00,2013-07-31T00:00:00-05:00,1890.33
2013-08-01,2013-08-01T00:00:00-05:00,2013-08-01T00:00:00-05:00,1896.15
2013-08-02,2013-08-02T00:00:00-05:00,2013-08-02T00:00:00-05:00,1896.65
2013-08-03,2013-08-03T00:00:00-05:00,2013-08-05T00:00:00-05:00,1891.67
2013-08-04,2013-08-03T00:00:00-05:00,2013-08-05T00:00:00-05:00,1891.67
2013-08-05,2013-08-03T00:00:00-05:00,2013-08-05T00:00:00-05:00,1891.67
2013-08-06,2013-08-06T00:00:00-05:00,2013-08-06T00:00:00-05:00,1883.24
2013-08-07,2013-08-07T00:00:00-05:00,2013-08-08T00:00:00-05:00,1882.01
2013-08-08,2013-08-07T00:00:00-05:00,2013-08-08T00:00:00-05:00,1882.01
2013-08-09,2013-08-09T00:00:00-05:00,2013-08-09T00:00:00-05:00,1877.23
2013-08-10,2013-08-10T00:00:00-05:00,2013-08-12T00:00:00-05:00,1873.92
2013-08-11,2013-08-10T00:00:00-05:00,2013-08-12T00:00:00-05:00,1873.92
2013-08-12,2013-08-10T00:00:00-05:00,2013-08-12T00:00:00-05:00,1873.92
2013-08-13,2013-08-13T00:00:00-05:00,2013-08-13T00:00:00-05:00,1868.9
2013-08-14,2013-08-14T00:00:00-05:00,2013-08-14T00:00:00-05:00,1882.36
2013-08-15,2013-08-15T00:00:00-05:00,2013-08-15T00:00:00-05:00,1883.15
2013-08-16,2013-08-16T00:00:00-05:00,2013-08-16T00:00:00-05:00,1901.03
2013-08-17,2013-08-17T00:00:00-05:00,2013-08-20T00:00:00-05:00,1907.06
2013-08-18,2013-08-17T00:00:00-05:00,2013-08-20T00:00:00-05:00,1907.06
2013-08-19,2013-08-17T00:00:00-05:00,2013-08-20T00:00:00-05:00,1907.06
2013-08-20,2013-08-17T00:00:00-05:00,2013-08-20T00:00:00-05:00,1907.06
2013-08-21,2013-08-21T00:00:00-05:00,2013-08-21T00:00:00-05:00,1922.73
2013-08-22,2013-08-22T00:00:00-05:00,2013-08-22T00:00:00-05:00,1929.75
2013-08-23,2013-08-23T00:00:00-05:00,2013-08-23T00:00:00-05:00,1921.99
2013-08-24,2013-08-24T00:00:00-05:00,2013-08-26T00:00:00-05:00,1911.16
2013-08-25,2013-08-24T00:00:00-05:00,2013-08-26T00:00:00-05:00,1911.16
2013-08-26,2013-08-24T00:00:00-05:00,2013-08-26T00:00:00-05:00,1911.16
2013-08-27,2013-08-27T00:00:00-05:00,2013-08-27T00:00:00-05:00,1922.96
2013-08-28,2013-08-28T00:00:00-05:00,2013-08-28T00:00:00-05:00,1938.26
2013-08-29,2013-08-29T00:00:00-05:00,2013-08-29T00:00:00-05:00,1939.85
2013-08-30,2013-08-30T00:00:00-05:00,2013-08-30T00:00:00-05:00,1943.04
2013-08-31,2013-08-31T00:00:00-05:00,2013-09-03T00:00:00-05:00,1935.43
2013-09-01,2013-08-31T00:00:00-05:00,2013-09-03T00:00:00-05:00,1935.43
2013-09-02,2013-08-31T00:00:00-05:00,2013-09-03T00:00:00-05:00,1935.43
2013-09-03,2013-08-31T00:00:00-05:00,2013-09-03T00:00:00-05:00,1935.43
2013-09-04,2013-09-04T00:00:00-05:00,2013-09-04T00:00:00-05:00,1946.28
2013-09-05,2013-09-05T00:00:00-05:00,2013-09-05T00:00:00-05:00,1938.99
2013-09-06,2013-09-06T00:00:00-05:00,2013-09-06T00:00:00-05:00,1952.11
